lead_id,rm_notes
L00001,Interested in SIP-based mutual fund plans. Client expressed some doubt about moving forward right now. Asked to be contacted again within the week. Seemed unsure about the firm's track record.
L00002,Wanted to understand AIF risk profile. Client listened but didn't commit either way.
L00003,"Client is still exploring options, non-committal for now. Asked to be contacted again within the week. Asked about alternative investment funds."
L00004,"Client pushed back on several points, unclear if this will progress. Seemed unsure about the firm's track record. Wanted to understand AIF risk profile."
L00005,"Enthusiastic about the proposal, asked for next steps immediately. Wants to close this quickly. Interested in starting a systematic investment plan."
L00006,Wanted to understand AIF risk profile. Asked to be contacted again within the week. Client listened but didn't commit either way.
L00007,Curious about portfolio management services for a larger allocation. Client mentioned they want to invest before month end.
L00008,"Polite conversation, nothing concrete decided. Interested in SIP-based mutual fund plans."
L00009,Asked about mutual fund options. No particular rush on their end. Client listened but didn't commit either way.
L00010,Asked about mutual fund options. Client listened but didn't commit either way. Said timing is important for them right now.
L00011,"Didn't specify a particular product. Client pushed back on several points, unclear if this will progress. Said this isn't the right time given current market conditions. No particular rush on their end."
L00012,"Polite conversation, nothing concrete decided. Didn't specify a particular product. No particular rush on their end."
L00013,"Conversation felt one-sided, client gave short answers. Asked about monthly SIP amounts. Seemed unsure about the firm's track record."
L00014,Didn't specify a particular product. Client said they'd think it over and get back to us.
L00015,Client said they'd think it over and get back to us. Wanted to understand AIF risk profile.
L00016,"Asked about mutual fund options. Client compared us favorably to their current advisor. Said there's no urgency, can revisit in a few months."
L00017,"Wants to wait until after a personal financial event before deciding. Interested in SIP-based mutual fund plans. Conversation felt one-sided, client gave short answers."
L00018,Mentioned they're in no hurry to decide. Client said they'd think it over and get back to us. Interested in SIP-based mutual fund plans.
L00019,"Not very responsive on the call, seemed distracted. Curious about portfolio management services for a larger allocation. Wants to wait until after a personal financial event before deciding."
L00020,"Mentioned they're also evaluating another wealth firm. Asked about monthly SIP amounts. Client pushed back on several points, unclear if this will progress."
L00021,"Interested in starting a systematic investment plan. Wanted more proof of past performance before committing. Client pushed back on several points, unclear if this will progress."
L00022,"Said there's no urgency, can revisit in a few months. Mentioned they're also evaluating another wealth firm. Client pushed back on several points, unclear if this will progress. Asked about monthly SIP amounts."
L00023,"Felt the cost structure was too high for the ticket size. Client pushed back on several points, unclear if this will progress. Wants to close this quickly. Asked about mutual fund options."
L00024,"Not very responsive on the call, seemed distracted. Said this isn't the right time given current market conditions. General interest, no specific product named yet."
L00025,"No particular rush on their end. Asked what PMS minimums look like. Polite conversation, nothing concrete decided."
L00026,Mentioned they're also evaluating another wealth firm. Asked about monthly SIP amounts. Client expressed some doubt about moving forward right now.
L00027,"Client is still exploring options, non-committal for now. Wants to close this quickly. Didn't specify a particular product."
L00028,Didn't specify a particular product. Wants to close this quickly. Client said they'd think it over and get back to us.
L00029,"Polite conversation, nothing concrete decided. Said timing is important for them right now. Interested in starting a systematic investment plan."
L00030,"Asked to be contacted again within the week. Interested in SIP-based mutual fund plans. Standard intro call, no strong signal yet."
L00031,Asked what PMS minimums look like. Client sounded genuinely interested and asked good follow-up questions.
L00032,Asked about monthly SIP amounts. Client expressed some doubt about moving forward right now. Mentioned they're also evaluating another wealth firm. Mentioned they're in no hurry to decide.
L00033,Interested in starting a systematic investment plan. Client sounded genuinely interested and asked good follow-up questions.
L00034,"Asked about monthly SIP amounts. Enthusiastic about the proposal, asked for next steps immediately."
L00035,Client listened but didn't commit either way. Interested in SIP-based mutual fund plans.
L00036,"Asked to be contacted again within the week. Interested in starting a systematic investment plan. Client is still exploring options, non-committal for now."
L00037,Client mentioned they want to invest before month end. Asked what PMS minimums look like.
L00038,"Very engaged on the call, seems ready to move forward soon. Mentioned they're in no hurry to decide. Curious about portfolio management services for a larger allocation."
L00039,"Enthusiastic about the proposal, asked for next steps immediately. Asked about mutual fund options."
L00040,Client sounded genuinely interested and asked good follow-up questions. Asked about mutual fund options.
