lead_id,conversion_probability_model,priority_tier,sentiment,urgency,objection,product_interest,recommended_action
L00100,0.9929905790324867,High,Positive,High,None,Unclear,"Call today - high intent, ready to convert"
L00338,0.990140390730166,High,Positive,Low,None,Unclear,Call this week - strong conversion likelihood
L00331,0.9901221170541895,High,Positive,Low,None,Unclear,Call this week - strong conversion likelihood
L00046,0.988527744439354,High,Positive,High,None,Unclear,"Call today - high intent, ready to convert"
L00242,0.9865652725929837,High,Positive,Medium,None,SIP,Call this week - strong conversion likelihood
L00212,0.9831296907769178,High,Positive,Medium,None,SIP,Call this week - strong conversion likelihood
L00034,0.9817727228977019,High,Positive,High,None,SIP,"Call today - high intent, ready to convert"
L00266,0.9815869280408198,High,Positive,Low,None,Unclear,Call this week - strong conversion likelihood
L00155,0.9759355513081073,High,Positive,High,None,Unclear,"Call today - high intent, ready to convert"
L00312,0.9735439123501135,High,Positive,Medium,None,AIF,Call this week - strong conversion likelihood
L00303,0.9713779991064353,High,Positive,Medium,None,SIP,Call this week - strong conversion likelihood
L00218,0.9677726171232046,High,Positive,Low,None,Unclear,Call this week - strong conversion likelihood
L00419,0.9668512537366827,High,Positive,High,None,SIP,"Call today - high intent, ready to convert"
L00401,0.9655690395688935,High,Positive,Low,None,SIP,Call this week - strong conversion likelihood
L00336,0.960279874440185,High,Positive,High,None,Unclear,"Call today - high intent, ready to convert"
L00356,0.9598162637509284,High,Positive,Low,None,MF,Call this week - strong conversion likelihood
L00071,0.9583573125512898,High,Positive,High,None,MF,"Call today - high intent, ready to convert"
L00082,0.9578503176819342,High,Positive,High,None,SIP,"Call today - high intent, ready to convert"
L00199,0.9572280885073087,High,Positive,High,None,SIP,"Call today - high intent, ready to convert"
L00059,0.9563832336196927,High,Positive,High,None,AIF,"Call today - high intent, ready to convert"
L00245,0.956102252130477,High,Positive,High,None,Unclear,"Call today - high intent, ready to convert"
L00276,0.9549907705125927,High,Positive,High,None,Unclear,"Call today - high intent, ready to convert"
L00246,0.9534095204899693,High,Positive,Low,None,Unclear,Call this week - strong conversion likelihood
L00272,0.9511745175927321,High,Positive,Low,None,Unclear,Call this week - strong conversion likelihood
L00327,0.9500137774671911,High,Positive,High,None,SIP,"Call today - high intent, ready to convert"
L00045,0.9461287409806177,High,Positive,High,None,PMS,"Call today - high intent, ready to convert"
L00306,0.9449316017798621,High,Positive,Low,None,MF,Call this week - strong conversion likelihood
L00135,0.9387340486080155,High,Positive,Medium,None,SIP,Call this week - strong conversion likelihood
L00007,0.9309232959570909,High,Positive,High,None,PMS,"Call today - high intent, ready to convert"
L00431,0.9308551215905483,High,Positive,Low,None,SIP,Call this week - strong conversion likelihood
L00043,0.9277503950751641,High,Neutral,Medium,None,Unclear,Call this week - strong conversion likelihood
L00370,0.9220815643863618,High,Positive,Low,None,SIP,Call this week - strong conversion likelihood
L00126,0.9211130841919523,High,Positive,High,None,Unclear,"Call today - high intent, ready to convert"
