lead_id,sentiment,urgency,objection,product_interest
L00006,Neutral,Medium,None,AIF
L00008,Neutral,Low,None,SIP
L00003,Neutral,Medium,None,AIF
L00002,Neutral,Low,None,AIF
L00001,Neutral,Medium,Trust,SIP
L00005,Positive,High,None,SIP
L00007,Positive,High,None,PMS
L00004,Neutral,Low,Trust,AIF
L00012,Neutral,Low,None,Unclear
L00013,Neutral,Low,Trust,SIP
L00009,Neutral,Low,None,MF
L00011,Negative,Low,Timing,Unclear
L00010,Neutral,Medium,Timing,MF
L00014,Neutral,Low,None,Unclear
L00016,Positive,Low,None,MF
L00015,Neutral,Low,None,AIF
L00018,Neutral,Low,None,SIP
L00020,Neutral,Medium,Competitor,SIP
L00021,Neutral,Low,Trust,SIP
L00022,Neutral,Low,Competitor,SIP
L00023,Negative,High,Pricing,MF
L00017,Neutral,Low,Timing,SIP
L00019,Neutral,Low,Timing,PMS
L00025,Neutral,Low,None,PMS
L00024,Neutral,Low,Timing,Unclear
L00029,Neutral,Medium,Timing,SIP
L00026,Neutral,Low,Competitor,SIP
L00027,Neutral,High,None,Unclear
L00028,Neutral,High,None,Unclear
L00030,Neutral,Medium,None,SIP
L00032,Neutral,Low,Competitor,SIP
L00033,Positive,Medium,None,SIP
L00031,Positive,Medium,None,PMS
L00034,Positive,High,None,SIP
L00038,Positive,Low,None,PMS
L00037,Positive,High,None,PMS
L00035,Neutral,Low,None,SIP
L00040,Positive,Medium,None,MF
L00041,Neutral,Low,Timing,SIP
L00036,Neutral,Medium,None,SIP
L00039,Positive,High,None,MF
L00042,Neutral,Low,None,MF
L00044,Neutral,Low,None,SIP
L00046,Positive,High,None,Unclear
L00043,Neutral,Medium,None,Unclear
L00045,Positive,High,None,PMS
L00047,Neutral,High,Pricing,PMS
L00048,Positive,Low,None,PMS
L00049,Neutral,Medium,Timing,MF
L00050,Negative,Low,Competitor,Unclear
L00052,Neutral,Medium,None,Unclear
L00053,Neutral,Low,Timing,SIP
L00051,Negative,Low,Pricing,Unclear
L00055,Neutral,Low,None,Unclear
L00057,Neutral,Medium,None,SIP
L00054,Neutral,Low,None,Unclear
L00056,Neutral,High,None,PMS
L00062,Neutral,Low,None,SIP
L00059,Positive,High,None,AIF
L00060,Negative,Medium,Pricing,SIP
L00058,Positive,High,None,SIP
